,DREM-HGN,,,DREM,,
Input.sample_id,Usefulness,information-relevance,satisfaction,Usefulness,information-relevance,satisfaction
178410-27218-369-357460,0,0,0,1,1,1
178410-27218-369-357460,1,1,1,0,0,0
178410-27218-369-357460,1,1,1,0,0,0
185736-16583-586-300303,0,1,0,1,1,1
185736-16583-586-300303,1,1,0,0,1,1
185736-16583-586-300303,1,1,1,0,0,0
132144-5499-578-95389,1,1,1,0,0,0
132144-5499-578-95389,1,1,1,0,0,0
132144-5499-578-95389,0,0,0,1,1,1
54762-46427-369-261895,0,0,0,0,0,0
54762-46427-369-261895,1,1,1,0,1,1
54762-46427-369-261895,1,1,1,0,0,0
35767-280-157-273609,0,0,0,1,1,1
35767-280-157-273609,1,1,1,1,1,1
35767-280-157-273609,0,1,0,1,1,1
47254-28532-100-361830,0,0,0,0,0,0
47254-28532-100-361830,0,1,0,1,0,1
47254-28532-100-361830,0,0,0,0,0,0
26307-280-157-273599,1,1,1,0,0,0
26307-280-157-273599,1,1,0,0,0,0
26307-280-157-273599,1,1,1,0,0,0
142611-280-157-273597,1,1,1,0,0,0
142611-280-157-273597,1,1,1,0,0,0
142611-280-157-273597,1,1,1,0,0,0
183695-58668-910-217795,0,1,1,1,1,1
183695-58668-910-217795,1,1,1,0,0,0
183695-58668-910-217795,1,1,1,0,0,0
138433-35658-100-268741,0,0,0,1,1,1
138433-35658-100-268741,1,1,1,0,0,0
138433-35658-100-268741,1,1,1,0,0,0
112949-26069-678-169446,0,0,0,1,1,1
112949-26069-678-169446,1,1,1,0,0,1
112949-26069-678-169446,1,1,1,0,0,0
79580-48201-800-341507,0,1,0,1,0,1
79580-48201-800-341507,0,0,0,1,1,1
79580-48201-800-341507,0,0,0,1,1,1
83933-46229-737-385917,1,1,1,0,0,0
83933-46229-737-385917,0,0,0,0,1,0
83933-46229-737-385917,0,0,0,1,1,1
42234-51311-728-264747,1,1,1,0,0,0
42234-51311-728-264747,1,1,1,1,1,1
42234-51311-728-264747,1,0,0,0,0,0
49284-34102-896-198828,1,1,0,0,1,0
49284-34102-896-198828,1,1,1,0,1,0
49284-34102-896-198828,0,0,1,1,1,1
79079-32083-761-298498,1,1,1,0,0,0
79079-32083-761-298498,1,1,1,0,0,0
79079-32083-761-298498,1,1,1,0,0,0
172909-48305-949-335100,0,0,0,1,1,1
172909-48305-949-335100,1,1,1,0,0,0
172909-48305-949-335100,0,0,0,1,1,1
183129-1616-374-324738,0,0,0,1,1,1
183129-1616-374-324738,0,1,0,1,1,1
183129-1616-374-324738,0,0,0,1,1,1
22311-59773-295-396726,1,1,1,0,0,0
22311-59773-295-396726,0,0,0,1,1,1
22311-59773-295-396726,1,1,1,0,0,0
100098-48305-949-335108,1,1,1,0,0,0
100098-48305-949-335108,1,1,1,0,0,0
100098-48305-949-335108,0,1,0,1,0,1
75959-1963-354-257205,0,0,0,1,1,1
75959-1963-354-257205,1,1,1,0,0,0
75959-1963-354-257205,1,1,1,0,0,0
103239-5499-578-95347,0,0,0,1,1,1
103239-5499-578-95347,0,0,0,1,1,1
103239-5499-578-95347,1,1,1,0,0,0
83353-16583-586-300051,0,0,0,1,1,1
83353-16583-586-300051,0,0,0,1,1,1
83353-16583-586-300051,1,1,1,0,0,0
177985-46427-369-261797,0,0,0,1,1,1
177985-46427-369-261797,1,0,1,0,1,0
177985-46427-369-261797,0,0,0,1,1,1
152685-58668-678-217804,0,0,1,1,1,1
152685-58668-678-217804,1,1,1,0,0,1
152685-58668-678-217804,0,0,1,1,1,0
15911-48046-706-245336,0,0,0,1,1,1
15911-48046-706-245336,0,1,0,1,0,1
15911-48046-706-245336,1,0,0,0,1,1
20102-48046-706-245375,0,1,1,1,1,1
20102-48046-706-245375,0,0,0,1,1,1
20102-48046-706-245375,1,1,1,0,0,0
130616-58668-910-217815,0,0,0,1,1,1
130616-58668-910-217815,1,1,1,0,0,0
130616-58668-910-217815,0,0,1,1,1,1
184084-51311-728-264770,1,1,1,1,1,1
184084-51311-728-264770,0,1,1,1,0,0
184084-51311-728-264770,1,0,1,0,1,1
190925-57746-891-99978,1,1,1,0,0,0
190925-57746-891-99978,1,1,1,0,0,0
190925-57746-891-99978,0,0,0,1,1,1
180458-48305-949-335103,1,1,1,0,0,0
180458-48305-949-335103,1,0,1,0,1,0
180458-48305-949-335103,0,0,0,1,1,1
88645-3613-100-365750,1,0,1,0,1,0
88645-3613-100-365750,1,1,1,0,0,0
88645-3613-100-365750,1,1,1,0,0,0
81730-47718-839-348013,0,0,0,1,1,1
81730-47718-839-348013,1,0,0,0,1,1
81730-47718-839-348013,1,1,1,0,0,1
114945-26069-678-169456,1,1,1,0,0,0
114945-26069-678-169456,1,1,1,0,0,0
114945-26069-678-169456,0,0,0,1,1,1
151807-34102-896-198835,1,1,1,1,1,1
151807-34102-896-198835,1,1,1,0,0,0
151807-34102-896-198835,1,1,1,0,0,0
112431-53912-374-152243,0,0,0,1,1,1
112431-53912-374-152243,0,0,0,1,1,1
112431-53912-374-152243,1,1,1,0,0,0
3142-53912-374-152241,1,1,1,1,1,1
3142-53912-374-152241,1,1,1,0,0,0
3142-53912-374-152241,1,1,1,0,0,0
122749-39057-915-277830,1,1,1,0,0,0
122749-39057-915-277830,0,0,0,1,1,1
122749-39057-915-277830,0,0,0,1,1,1
101470-59405-986-232749,1,0,0,0,1,1
101470-59405-986-232749,1,1,1,0,0,0
101470-59405-986-232749,0,0,1,1,1,1
43137-25395-425-335858,1,1,1,0,0,1
43137-25395-425-335858,1,1,1,0,0,0
43137-25395-425-335858,1,1,1,0,0,0
159741-12823-755-241629,1,0,1,0,1,1
159741-12823-755-241629,1,1,1,0,0,0
159741-12823-755-241629,0,1,0,1,1,1
88243-5499-578-95488,0,0,0,1,1,1
88243-5499-578-95488,0,0,0,1,1,1
88243-5499-578-95488,0,0,0,1,1,1
4254-5499-578-95355,1,1,1,0,0,0
4254-5499-578-95355,0,0,0,1,1,1
4254-5499-578-95355,1,1,1,0,0,0
46314-16583-586-300290,0,0,0,1,1,1
46314-16583-586-300290,0,0,0,0,1,0
46314-16583-586-300290,0,0,0,1,1,1
11442-51311-728-264742,1,1,1,0,0,0
11442-51311-728-264742,0,0,0,1,1,1
11442-51311-728-264742,0,0,0,1,1,1
92758-280-157-273541,0,1,1,1,0,0
92758-280-157-273541,0,1,1,1,0,0
92758-280-157-273541,0,0,0,1,1,1
180602-57746-891-99972,0,0,0,1,1,1
180602-57746-891-99972,0,0,0,1,1,0
180602-57746-891-99972,0,0,0,1,1,1
23707-46229-737-385903,0,0,0,1,1,1
23707-46229-737-385903,0,0,0,1,1,0
23707-46229-737-385903,1,1,1,0,0,1
90991-36350-910-256519,0,0,0,1,1,1
90991-36350-910-256519,1,0,0,1,1,1
90991-36350-910-256519,0,0,0,1,1,1
58432-35658-100-268750,0,0,0,1,1,1
58432-35658-100-268750,0,0,0,1,1,1
58432-35658-100-268750,0,1,0,1,1,1
103021-36350-910-256517,0,0,0,1,1,1
103021-36350-910-256517,0,0,0,0,1,0
103021-36350-910-256517,0,1,1,1,0,1
34814-58668-678-217781,0,0,0,1,1,1
34814-58668-678-217781,0,1,1,1,0,0
34814-58668-678-217781,0,0,0,1,1,1
133688-46229-737-385931,0,0,0,1,1,1
133688-46229-737-385931,0,1,0,1,0,1
133688-46229-737-385931,0,0,0,0,0,0
181618-29483-863-191157,0,0,0,1,1,1
181618-29483-863-191157,1,1,1,0,0,0
181618-29483-863-191157,1,1,1,0,0,0
27723-23888-839-359805,1,1,1,0,0,0
27723-23888-839-359805,0,0,0,1,1,0
27723-23888-839-359805,0,1,0,1,0,1
44414-53912-374-152240,1,1,1,0,0,0
44414-53912-374-152240,0,0,0,1,1,1
44414-53912-374-152240,1,1,1,0,0,0
23703-1616-374-324720,1,1,1,1,0,0
23703-1616-374-324720,0,0,0,1,1,1
23703-1616-374-324720,0,0,0,1,1,1
138639-32083-761-298493,1,1,1,0,0,0
138639-32083-761-298493,0,0,0,1,1,1
138639-32083-761-298493,1,1,1,0,0,0
107041-1963-354-257221,0,0,0,1,1,1
107041-1963-354-257221,0,0,0,1,1,1
107041-1963-354-257221,1,1,1,0,0,0
55944-59773-295-396712,1,1,1,0,0,0
55944-59773-295-396712,0,0,0,1,1,1
55944-59773-295-396712,0,1,0,1,0,1
42544-25395-425-335856,0,0,0,1,1,1
42544-25395-425-335856,0,0,0,1,1,1
42544-25395-425-335856,1,1,1,0,0,0
50288-16583-586-299981,1,1,1,0,0,0
50288-16583-586-299981,0,1,1,1,0,0
50288-16583-586-299981,0,1,0,0,1,0
26797-16583-586-300054,0,0,0,1,1,1
26797-16583-586-300054,1,1,1,0,0,0
26797-16583-586-300054,0,1,1,1,0,0
89327-46427-369-261911,1,1,1,0,0,0
89327-46427-369-261911,0,0,0,1,1,1
89327-46427-369-261911,1,1,0,1,1,1
188229-280-157-273663,0,0,0,1,1,0
188229-280-157-273663,1,1,1,0,0,0
188229-280-157-273663,1,1,1,0,0,0
147411-36350-910-256526,0,0,0,1,1,1
147411-36350-910-256526,0,0,0,1,1,1
147411-36350-910-256526,1,1,1,0,0,0
124053-51311-728-264768,1,1,1,0,0,0
124053-51311-728-264768,1,1,1,0,1,1
124053-51311-728-264768,0,1,1,1,0,1
96758-23208-831-390174,0,0,0,1,1,1
96758-23208-831-390174,1,1,1,0,1,0
96758-23208-831-390174,0,1,1,1,0,0
8146-25395-425-335852,1,0,0,0,1,1
8146-25395-425-335852,1,1,1,0,0,0
8146-25395-425-335852,1,1,1,0,0,0
101470-59405-988-232749,1,1,1,1,1,1
101470-59405-988-232749,1,1,1,1,1,1
101470-59405-988-232749,0,1,1,1,0,0
172050-28532-100-361808,1,1,1,0,0,0
172050-28532-100-361808,1,1,1,0,0,0
172050-28532-100-361808,1,1,1,0,0,0
24125-47718-839-348022,0,1,0,1,1,1
24125-47718-839-348022,0,1,1,1,0,0
24125-47718-839-348022,1,0,0,0,0,1
142969-23888-839-359786,1,1,1,0,0,0
142969-23888-839-359786,0,0,0,1,1,1
142969-23888-839-359786,0,0,0,1,1,0
122295-59773-295-396721,0,0,0,1,1,1
122295-59773-295-396721,0,0,0,1,1,0
122295-59773-295-396721,0,0,0,1,1,1
78974-34102-891-198838,0,0,0,1,1,1
78974-34102-891-198838,0,0,0,0,0,0
78974-34102-891-198838,1,1,1,0,0,0
